note,midi_number,pitch,octave,frequency_hz,dynamic,velocity_min,velocity_max,exists,aiff_path,wav_path,file_size_bytes,sample_rate,channels,bit_depth
A0,21,A,0,27.5,pp,1,55,False,,,0,44100,2,16
A0,21,A,0,27.5,mf,56,95,False,,,0,44100,2,16
A0,21,A,0,27.5,ff,1,127,True,ff/Piano.ff.A0.aiff,wav/ff/Piano.ff.A0.wav,9484390,44100,2,16
Bb0,22,Bb,0,29.14,pp,1,95,True,pp/Piano.pp.Bb0.aiff,wav/pp/Piano.pp.Bb0.wav,6329722,44100,2,16
Bb0,22,Bb,0,29.14,mf,56,95,False,,,0,44100,2,16
Bb0,22,Bb,0,29.14,ff,96,127,True,ff/Piano.ff.Bb0.aiff,wav/ff/Piano.ff.Bb0.wav,9872322,44100,2,16
B0,23,B,0,30.87,pp,1,55,True,pp/Piano.pp.B0.aiff,wav/pp/Piano.pp.B0.wav,6046234,44100,2,16
B0,23,B,0,30.87,mf,56,95,True,mf/Piano.mf.B0.aiff,wav/mf/Piano.mf.B0.wav,5549218,44100,2,16
B0,23,B,0,30.87,ff,96,127,True,ff/Piano.ff.B0.aiff,wav/ff/Piano.ff.B0.wav,9661906,44100,2,16
C1,24,C,1,32.7,pp,1,55,True,pp/Piano.pp.C1.aiff,wav/pp/Piano.pp.C1.wav,5912710,44100,2,16
C1,24,C,1,32.7,mf,56,95,True,mf/Piano.mf.C1.aiff,wav/mf/Piano.mf.C1.wav,5992554,44100,2,16
C1,24,C,1,32.7,ff,96,127,True,ff/Piano.ff.C1.aiff,wav/ff/Piano.ff.C1.wav,8783474,44100,2,16
Db1,25,Db,1,34.65,pp,1,55,True,pp/Piano.pp.Db1.aiff,wav/pp/Piano.pp.Db1.wav,5754010,44100,2,16
Db1,25,Db,1,34.65,mf,56,95,True,mf/Piano.mf.Db1.aiff,wav/mf/Piano.mf.Db1.wav,6271506,44100,2,16
Db1,25,Db,1,34.65,ff,96,127,True,ff/Piano.ff.Db1.aiff,wav/ff/Piano.ff.Db1.wav,9889298,44100,2,16
D1,26,D,1,36.71,pp,1,55,True,pp/Piano.pp.D1.aiff,wav/pp/Piano.pp.D1.wav,6815282,44100,2,16
